ID_COMMIT;ID_AUTOR;DATA_COMMIT
7a2fd4e93c8f1abe807d32a769648b641154a4e0;7288;09/09/2011
f5c2b7f69ba80e07e12464505dbb43ae00ce61e9;7288;09/09/2011
d844d5404f429d426909532c03ecc69de27490b1;7288;09/09/2011
f7162f7302ad32c3b8b0e7a6ba35c16effaa16f9;7288;09/09/2011
e67428382193d21d752b334e2e154312aa2e4440;7288;09/09/2011
64bc80d0804d62bdae80e14056731edaec7afd2d;7288;09/09/2011
a62299214d481964818fd2918a9ec9d5da2c7533;7288;09/09/2011
4fb37aa0ccb344622d3e3f20488b8f17f067f943;7288;09/09/2011
2b83a522516af90f14d179699d8b6bdb6b5f74dd;7288;09/09/2011
b412aba06d093d5896eecbf6da9639a558495c32;7288;08/09/2011
6a79ea7e6d93543421ecb37c54f93a5fa515f3ca;7288;08/09/2011
67be09ec804518f2beac98990c57c70a6728a814;7288;08/09/2011
080eb26a11ba2cb915110155dd8a9bbfef37133c;7288;08/09/2011
d94b0c4fbb43c299ee8e7e0e1c21902f9bea9b4e;7288;08/09/2011
e45c5328b9471a8e93e359312658cbd59ed59253;7288;08/09/2011
059e72588c532c9590b114a8d8597bbac1f14b3a;7288;07/09/2011
d35f81bbdaa27954201c3bf8e2ef32895695d13a;7288;06/09/2011
bc348c5a3500901cea3dbb20de250354fe1cedd8;7288;06/09/2011
962f99fa774337c3c71e85666d86cad6b3659bad;7288;06/09/2011
e14c07f288af9422c25958589c8212bc1c09702b;7288;06/09/2011
07c6eb81f56d8c423673688a0cb2c32f301f7d6b;7288;06/09/2011
3dc9fe53a020635d5179bba43251e98b67e8c4ae;7288;06/09/2011
c0e179d59ecf391472922935b79c989ba9452208;7288;06/09/2011
cebe64ec31bc3e0e6e236dac0a2cc0fffd7150d5;7288;06/09/2011
7aa5ec5347168959092406cb59026deef7ecc27b;7288;06/09/2011
5753e739a88775643b3e339e7fd220ca5f11881e;7288;06/09/2011
d29fb285a825941768fdf5ad8e407e225c4732b5;7288;06/09/2011
774070809f9e096b3c77b51edf09f72df07f0a90;422013;05/09/2011
7cd76309e6e80e89ec1c5ecb0d0d07d70479a2c5;7288;05/09/2011
88991207c2e5ffc0e6c41f5d55759606839dbc5e;114508;04/09/2011
8c15c80b1485af5673f282dfae1356da5d341e97;114508;04/09/2011
5889ef75e93db00bef3432bab8aa40cb3863e2d2;7288;04/09/2011
c4a1081e5401e237bdbb3a24e9b78897a78c892c;7288;04/09/2011
461d533348ed36ebf59a2c70d63851f9e2c1c54e;32777;02/09/2011
af71868c235c15e8525069f48cf1845674f7a104;32777;02/09/2011
2d9f0424e4e8b560a7c70ac15ce882e02d6bcf21;7288;02/09/2011
f83b9a5ba78e627b5edf57c2d06e291802c50bd0;114508;31/08/2011
750e1e98c40e5334fec8d5d52d8c78cb5a306c91;114508;31/08/2011
31c2decbd3794a54531d59051b65e8567b1e843d;114508;31/08/2011
12171fc9c6bbdb30876ac1261b92f4ba24f438c2;114508;31/08/2011
715f1a7fc3c344f49892c700a7ae66cf04af85e7;114508;31/08/2011
4a6154b5bd074907d4ba414efe18ed74ea4240ca;7288;01/09/2011
96641ea8a1be459f2b6b52a9a72779821e0ba616;114508;31/08/2011
619d4b470fb750ee9ebe8947501448a17b84a306;114508;31/08/2011
f381f61c64518cc4d80ef91b0da7a2df9d09310f;114508;31/08/2011
cffd688efd26dc4d81a1ce7ee046d376541ec0ef;114508;31/08/2011
3401dd9f784ed79d26de81b71cebfc1b5bcd91b6;114508;31/08/2011
4dca2b3d602f64700df7f185f54eb22e135bea33;7288;31/08/2011
868e751bea1a8974f6224630040fc2e317fdfb8f;7288;31/08/2011
8ebd446e58d4ab48dd07c914effcf9662479278f;7288;31/08/2011
d8d88a38941953508ab6a4161781245d1927b1d6;114508;31/08/2011
12699b1514747fbeb160a552a6c82f94efaf130b;114508;31/08/2011
344654854f39faa5e89ff62b903d69102e924ca1;7288;31/08/2011
d792cd8d05d1c5b16f9e4a95d4203235dccb8ad4;189989;29/08/2011
3c4699b6096a0cb75a7c58091ff9bd2cd69ff777;189989;29/08/2011
26f7185bf618080c915c750eb68a9f71190b5a72;189989;29/08/2011
94c5e270cfc52166dfef953812030f3d1241f139;189989;29/08/2011
8f89ddc9a3f297538c4f5e38a91dd9d9f76a966e;189989;29/08/2011
783229214c69f266771852ca67e6b88a2578bd08;7288;28/08/2011
da97b9abbfb9ee42761ed320a5454bb8e95d60b6;189989;28/08/2011
74db4807d53c06c1d967f90c155faa600e1d0d0e;189989;28/08/2011
3c790d80a8115d6a5b6bc908ab1c3ddc81ca5b66;189989;28/08/2011
43a987d5b4d71c1430ddc0df30b27c85d0b14918;7288;28/08/2011
1ccf1e64bea359bbb922c462e0336123d9d4a94c;7288;28/08/2011
9c94a8ef24aa042cb4dbda6ce7bc9090c1d61b26;189989;28/08/2011
ad53b9bb3e6ca8468463c5a969d1aae848d893b9;189989;28/08/2011
cad33014b43937ac9eb4f4e759fed9fb6420dc26;189989;28/08/2011
ec92ac735c17a4ef741ed8f626466e7b4acc8c77;189989;28/08/2011
102b421617c2e61f54c9203f184016959bc97068;189989;28/08/2011
1461ac012daf9a2626ec0b16038842c936d0de8f;189989;26/08/2011
f5f436160c8b5fb8895b04b30406f67317a29d19;189989;26/08/2011
a445b2d7b9e10379c9679885988f9ad30ce365b1;189989;26/08/2011
5441f516070f3bb9d340a1e84dbd660de03f59ab;189989;26/08/2011
a75f7c9dc313c8b19e28aa8c57b737c455f15f2d;189989;26/08/2011
c4b1d443ffa8ae7294565447ee3d17f4cd1df0c2;7288;25/08/2011
c517674f3f1426052cb93205b7da1b26b57cddc1;7288;24/08/2011
b5bb07faa450b312382383a2202d49a3f8e325aa;189989;24/08/2011
66460a779313595f40fbe341d81a3973213b171e;7288;24/08/2011
051f3ea839ce8bff7a2f95c4bd3acbbd4f5ae635;7288;24/08/2011
6fe972d0a870f7e7c26819e84691353052ad8ade;7288;24/08/2011
6e4137f16c2da7ccf8894dc002b335981a4e9472;7288;23/08/2011
31a75b02a5e9651ebdb07516caba5d6c70293d39;7288;22/08/2011
47929b4507a16af12d813055aef7ed27b15abd66;7288;22/08/2011
08e6c5b8cd992eecfa29712e25470fbfa6c92f6c;7288;22/08/2011
4272070d60abfd680b8c0c76b598171dfdfa8c38;189989;22/08/2011
d3cb9fe75022beacb50c18bfe791708d4b0a71e8;7288;22/08/2011
c75e595ea43ca034ce36f0d82272fac8ad7bdd5a;7288;21/08/2011
84a8a6da5f85e17b24125aaeb233f0383000eeef;7288;21/08/2011
d78b1e1f5e6673e8abf28ecd7c376a3871066c31;189989;21/08/2011
f95a39230b8b850e50d4ca974783500e3a524e09;7288;21/08/2011
6e4c1a40f256a5476d6463ec0c0db747a0153bcc;7288;21/08/2011
34a7389a2c81c1e5c75f8ffefe3f840dc900067c;7288;21/08/2011
83922ada2f975ab1bb411453bdafa4bd5c6d5aad;7288;21/08/2011
4a96278d1bf992304eb68827883529c8eeea1b48;7288;21/08/2011
d3f10a8e18408c25c66f80f91c14779e358c92b1;7288;21/08/2011
8af4fa714cac4aa83e6884065351b3b31b853f07;7288;21/08/2011
944056ce4a0877ec62d9ff01049e59b5d7826888;7288;21/08/2011
3ec96ea6b0eb8f4165a6e5cf360b71961ae82147;7288;21/08/2011
52746493c44ed017aa020078fa1492957f2233a0;7288;21/08/2011
59785ab4e9c802ff3688475c627d9b9842ce16b2;7288;21/08/2011
af727e95225c09cdf2f0a47f2b9d6b7a3f5125e6;7288;21/08/2011
2dbdc3659825bd66e11d7d5c87f7973b1ac76114;7288;21/08/2011
776da4987f0814a173c37b6e035b117bcbe9a6ec;7288;21/08/2011
ba41180fa1ec884a26b57c11afc76886dd14f44a;7288;21/08/2011
7a0bd2a569a6de83d4d5a11610bf3d9176694ae9;7288;21/08/2011
699f4f76f25ea2252f31f82fd503b0125ab45709;7288;21/08/2011
9d19e02355d17c69f797d0f746391fc92e212b19;7288;21/08/2011
e6796407008a646e045f7f3bd42647b733e32a4e;7288;21/08/2011
319fd80ec34348c5a1a4ee653efd2a2c93cb55b4;7288;21/08/2011
e79a51bdd84a4e569958142e6c0a0961b54ac64f;7288;21/08/2011
439e4aa1442fd7c1d0dc584f41e7429619b24eec;7288;20/08/2011
8b044bdd4c189ee44456115cdead8c08d6ecbc6c;7288;20/08/2011
149c9512620be06fec06009b336bd46e55a52b43;7288;20/08/2011
75c925a932ad53360f6f7a831b526baab7658131;7288;20/08/2011
710baec7352e2421172e477682d5ccb3cdb480b1;7288;20/08/2011
bc644a138aa525d009209170d129814d686e1bb7;7288;20/08/2011
8deac1b8c6ff7744728107d052f97abd6ac01702;213140;20/08/2011
07051055cb76a7e4f638eb35898d1bfcfdfbf38f;7288;20/08/2011
07061f864eaed7b71159a33713400b00d96da069;7288;19/08/2011
da3a7de22395bcef866e3b5628952713e65e9c38;7288;18/08/2011
545ce2a2b9a6c37de157065ea6005d467ad212db;7288;16/08/2011
155054e6717fdfa8cffa1dc3c98336d12fa1026e;7288;16/08/2011
4e7d3f1c18cc33fa6c963fd6be837b749df61e29;189989;16/08/2011
2867e06c53c2d5d17a757fca27b41526ad86cefc;7288;16/08/2011
682b3532be4d2cd6f66e9617b36d5fc3451dbbf7;189989;16/08/2011
6254c847171ee7fe309539aeed46d5c92d15ca62;189989;16/08/2011
c3d7b2e9180a45b94d64c59a0933653d6e3ed444;189989;16/08/2011
ca92c9ff847039abe297ec9f28d412823e133b5f;189989;16/08/2011
